sentence,prompt
"King rose to prominence after Mrs. Parks ' action in December 1955 in Montgomery , Ala. , set the stage for a boycott and subsequent demonstrations that caught the nation by surprise .","King is a person entity , right ? Yes ."
"King rose to prominence after Mrs. Parks ' action in December 1955 in Montgomery , Ala. , set the stage for a boycott and subsequent demonstrations that caught the nation by surprise .","Mrs. Parks is a person entity , right ? Yes ."
"King rose to prominence after Mrs. Parks ' action in December 1955 in Montgomery , Ala. , set the stage for a boycott and subsequent demonstrations that caught the nation by surprise .","1955 is an other entity , right ? Yes ."
"King rose to prominence after Mrs. Parks ' action in December 1955 in Montgomery , Ala. , set the stage for a boycott and subsequent demonstrations that caught the nation by surprise .","Montgomery is a location entity , right ? Yes ."
"King rose to prominence after Mrs. Parks ' action in December 1955 in Montgomery , Ala. , set the stage for a boycott and subsequent demonstrations that caught the nation by surprise .","Ala. is a location entity , right ? Yes ."
"King rose to prominence after Mrs. Parks ' action in December 1955 in Montgomery , Ala. , set the stage for a boycott and subsequent demonstrations that caught the nation by surprise .","action in December 1955 in Montgomery , is not a named entity, right ? Sure ."
"King rose to prominence after Mrs. Parks ' action in December 1955 in Montgomery , Ala. , set the stage for a boycott and subsequent demonstrations that caught the nation by surprise .","surprise is not a named entity, right ? Sure ."
"King rose to prominence after Mrs. Parks ' action in December 1955 in Montgomery , Ala. , set the stage for a boycott and subsequent demonstrations that caught the nation by surprise .","Parks ' action in December is not a named entity, right ? Sure ."
"King rose to prominence after Mrs. Parks ' action in December 1955 in Montgomery , Ala. , set the stage for a boycott and subsequent demonstrations that caught the nation by surprise .","to prominence after Mrs. Parks ' action is not a named entity, right ? Sure ."
"King rose to prominence after Mrs. Parks ' action in December 1955 in Montgomery , Ala. , set the stage for a boycott and subsequent demonstrations that caught the nation by surprise .","that caught the nation by surprise . is not a named entity, right ? Sure ."
"King rose to prominence after Mrs. Parks ' action in December 1955 in Montgomery , Ala. , set the stage for a boycott and subsequent demonstrations that caught the nation by surprise .","prominence is not a named entity, right ? Sure ."
"King rose to prominence after Mrs. Parks ' action in December 1955 in Montgomery , Ala. , set the stage for a boycott and subsequent demonstrations that caught the nation by surprise .",", Ala. is not a named entity, right ? Sure ."
"King rose to prominence after Mrs. Parks ' action in December 1955 in Montgomery , Ala. , set the stage for a boycott and subsequent demonstrations that caught the nation by surprise .","that caught the nation is not a named entity, right ? Sure ."
"King rose to prominence after Mrs. Parks ' action in December 1955 in Montgomery , Ala. , set the stage for a boycott and subsequent demonstrations that caught the nation by surprise .","rose is not a named entity, right ? Sure ."
"King rose to prominence after Mrs. Parks ' action in December 1955 in Montgomery , Ala. , set the stage for a boycott and subsequent demonstrations that caught the nation by surprise .","set the stage for a is not a named entity, right ? Sure ."
Paris AFP,"Paris is a location entity , right ? Yes ."
Paris AFP,"AFP is an organization entity , right ? Yes ."
Paris AFP,"Paris AFP is not a named entity, right ? Sure ."
Diphtheria in Zhitomir 94WE0015A Kiev SILSKI VISTI in Ukrainian 1 Jul 93 p 1,"Zhitomir is a location entity , right ? Yes ."
Diphtheria in Zhitomir 94WE0015A Kiev SILSKI VISTI in Ukrainian 1 Jul 93 p 1,"Kiev is a location entity , right ? Yes ."
Diphtheria in Zhitomir 94WE0015A Kiev SILSKI VISTI in Ukrainian 1 Jul 93 p 1,"SILSKI VISTI is an organization entity , right ? Yes ."
Diphtheria in Zhitomir 94WE0015A Kiev SILSKI VISTI in Ukrainian 1 Jul 93 p 1,"1 Jul 93 is an other entity , right ? Yes ."
Diphtheria in Zhitomir 94WE0015A Kiev SILSKI VISTI in Ukrainian 1 Jul 93 p 1,"in Ukrainian 1 Jul 93 p 1 is not a named entity, right ? Sure ."
Diphtheria in Zhitomir 94WE0015A Kiev SILSKI VISTI in Ukrainian 1 Jul 93 p 1,"Ukrainian 1 is not a named entity, right ? Sure ."
Diphtheria in Zhitomir 94WE0015A Kiev SILSKI VISTI in Ukrainian 1 Jul 93 p 1,"Jul 93 p is not a named entity, right ? Sure ."
Diphtheria in Zhitomir 94WE0015A Kiev SILSKI VISTI in Ukrainian 1 Jul 93 p 1,"Diphtheria in is not a named entity, right ? Sure ."
Diphtheria in Zhitomir 94WE0015A Kiev SILSKI VISTI in Ukrainian 1 Jul 93 p 1,"94WE0015A Kiev SILSKI VISTI in Ukrainian is not a named entity, right ? Sure ."
Diphtheria in Zhitomir 94WE0015A Kiev SILSKI VISTI in Ukrainian 1 Jul 93 p 1,"Diphtheria in Zhitomir 94WE0015A Kiev SILSKI VISTI is not a named entity, right ? Sure ."
Diphtheria in Zhitomir 94WE0015A Kiev SILSKI VISTI in Ukrainian 1 Jul 93 p 1,"Ukrainian 1 Jul 93 p is not a named entity, right ? Sure ."
Diphtheria in Zhitomir 94WE0015A Kiev SILSKI VISTI in Ukrainian 1 Jul 93 p 1,"p 1 is not a named entity, right ? Sure ."
Burlington spokesman Gus Melonas said the company was using containment booms to stop the fuel slick from spreading further.,"Burlington is an organization entity , right ? Yes ."
Burlington spokesman Gus Melonas said the company was using containment booms to stop the fuel slick from spreading further.,"Gus Melonas is a person entity , right ? Yes ."
Burlington spokesman Gus Melonas said the company was using containment booms to stop the fuel slick from spreading further.,"fuel slick from spreading is not a named entity, right ? Sure ."
Burlington spokesman Gus Melonas said the company was using containment booms to stop the fuel slick from spreading further.,"was using containment booms to stop the is not a named entity, right ? Sure ."
Burlington spokesman Gus Melonas said the company was using containment booms to stop the fuel slick from spreading further.,"containment is not a named entity, right ? Sure ."
Burlington spokesman Gus Melonas said the company was using containment booms to stop the fuel slick from spreading further.,"Burlington spokesman Gus Melonas said the company is not a named entity, right ? Sure ."
"` ` I hope they come away with the impression that we are real human beings , with a better understanding of the fact that America is not what they see on the satellite or through the news media , ' ' said Fred Bauman , project manager of the local chapter of Habitat for Humanity , the Yakima Valley Partners , which is overseeing the building.","America is a location entity , right ? Yes ."
"` ` I hope they come away with the impression that we are real human beings , with a better understanding of the fact that America is not what they see on the satellite or through the news media , ' ' said Fred Bauman , project manager of the local chapter of Habitat for Humanity , the Yakima Valley Partners , which is overseeing the building.","Fred Bauman is a person entity , right ? Yes ."
"` ` I hope they come away with the impression that we are real human beings , with a better understanding of the fact that America is not what they see on the satellite or through the news media , ' ' said Fred Bauman , project manager of the local chapter of Habitat for Humanity , the Yakima Valley Partners , which is overseeing the building.","Habitat for Humanity is an organization entity , right ? Yes ."
"` ` I hope they come away with the impression that we are real human beings , with a better understanding of the fact that America is not what they see on the satellite or through the news media , ' ' said Fred Bauman , project manager of the local chapter of Habitat for Humanity , the Yakima Valley Partners , which is overseeing the building.","Yakima Valley Partners is an organization entity , right ? Yes ."
"` ` I hope they come away with the impression that we are real human beings , with a better understanding of the fact that America is not what they see on the satellite or through the news media , ' ' said Fred Bauman , project manager of the local chapter of Habitat for Humanity , the Yakima Valley Partners , which is overseeing the building.","local chapter of Habitat for is not a named entity, right ? Sure ."
"` ` I hope they come away with the impression that we are real human beings , with a better understanding of the fact that America is not what they see on the satellite or through the news media , ' ' said Fred Bauman , project manager of the local chapter of Habitat for Humanity , the Yakima Valley Partners , which is overseeing the building.","Habitat for is not a named entity, right ? Sure ."
"` ` I hope they come away with the impression that we are real human beings , with a better understanding of the fact that America is not what they see on the satellite or through the news media , ' ' said Fred Bauman , project manager of the local chapter of Habitat for Humanity , the Yakima Valley Partners , which is overseeing the building.","of the fact is not a named entity, right ? Sure ."
"` ` I hope they come away with the impression that we are real human beings , with a better understanding of the fact that America is not what they see on the satellite or through the news media , ' ' said Fred Bauman , project manager of the local chapter of Habitat for Humanity , the Yakima Valley Partners , which is overseeing the building.","that America is is not a named entity, right ? Sure ."
"` ` I hope they come away with the impression that we are real human beings , with a better understanding of the fact that America is not what they see on the satellite or through the news media , ' ' said Fred Bauman , project manager of the local chapter of Habitat for Humanity , the Yakima Valley Partners , which is overseeing the building.","human beings is not a named entity, right ? Sure ."
"` ` I hope they come away with the impression that we are real human beings , with a better understanding of the fact that America is not what they see on the satellite or through the news media , ' ' said Fred Bauman , project manager of the local chapter of Habitat for Humanity , the Yakima Valley Partners , which is overseeing the building.","satellite or through the news media , ' is not a named entity, right ? Sure ."
"` ` I hope they come away with the impression that we are real human beings , with a better understanding of the fact that America is not what they see on the satellite or through the news media , ' ' said Fred Bauman , project manager of the local chapter of Habitat for Humanity , the Yakima Valley Partners , which is overseeing the building.","they see on the satellite or through is not a named entity, right ? Sure ."
"` ` I hope they come away with the impression that we are real human beings , with a better understanding of the fact that America is not what they see on the satellite or through the news media , ' ' said Fred Bauman , project manager of the local chapter of Habitat for Humanity , the Yakima Valley Partners , which is overseeing the building.","understanding of is not a named entity, right ? Sure ."
"Winds gusting to near 80 mph damaged trees and several buildings at Covington , Okla.","80 mph is an other entity , right ? Yes ."
"Winds gusting to near 80 mph damaged trees and several buildings at Covington , Okla.","trees is an other entity , right ? Yes ."
"Winds gusting to near 80 mph damaged trees and several buildings at Covington , Okla.","Covington is a location entity , right ? Yes ."
"Winds gusting to near 80 mph damaged trees and several buildings at Covington , Okla.","Okla. is a location entity , right ? Yes ."
"Winds gusting to near 80 mph damaged trees and several buildings at Covington , Okla.","and several buildings at Covington , is not a named entity, right ? Sure ."
"Winds gusting to near 80 mph damaged trees and several buildings at Covington , Okla.","Winds gusting is not a named entity, right ? Sure ."
"Winds gusting to near 80 mph damaged trees and several buildings at Covington , Okla.","80 is not a named entity, right ? Sure ."
"Winds gusting to near 80 mph damaged trees and several buildings at Covington , Okla.","damaged trees and several buildings at Covington , is not a named entity, right ? Sure ."
"Winds gusting to near 80 mph damaged trees and several buildings at Covington , Okla.","Winds gusting to near 80 is not a named entity, right ? Sure ."
"Winds gusting to near 80 mph damaged trees and several buildings at Covington , Okla.","Winds gusting to near 80 mph damaged trees is not a named entity, right ? Sure ."
"Winds gusting to near 80 mph damaged trees and several buildings at Covington , Okla.","80 mph damaged trees and is not a named entity, right ? Sure ."
"Winds gusting to near 80 mph damaged trees and several buildings at Covington , Okla.","Winds is not a named entity, right ? Sure ."
"In a bizarre allegation , Anderson said the same photo analysts also concluded that a picture of three hobos near the shooting scene taken shortly after the killing appear to show Watergate conspirator E. Howard Hunt and James Earl Ray , the killer of Martin Luther King Jr .","Anderson is a person entity , right ? Yes ."
