sentence,prompt
"In a statement on Wednesday "","" the Four Nations TV Committee said dates had been set for a competition involving Scotland "","" Wales "","" Ireland and France next year .",Four Nations TV Committee is an organization entity .
"In a statement on Wednesday "","" the Four Nations TV Committee said dates had been set for a competition involving Scotland "","" Wales "","" Ireland and France next year .",Scotland is a location entity .
"In a statement on Wednesday "","" the Four Nations TV Committee said dates had been set for a competition involving Scotland "","" Wales "","" Ireland and France next year .",Wales is a location entity .
"In a statement on Wednesday "","" the Four Nations TV Committee said dates had been set for a competition involving Scotland "","" Wales "","" Ireland and France next year .",Ireland is a location entity .
"In a statement on Wednesday "","" the Four Nations TV Committee said dates had been set for a competition involving Scotland "","" Wales "","" Ireland and France next year .",France is a location entity .
"In a statement on Wednesday "","" the Four Nations TV Committee said dates had been set for a competition involving Scotland "","" Wales "","" Ireland and France next year .",set for a competition involving Scotland is not a named entity .
"In a statement on Wednesday "","" the Four Nations TV Committee said dates had been set for a competition involving Scotland "","" Wales "","" Ireland and France next year .","for a competition involving Scotland "","" Wales is not a named entity ."
"In a statement on Wednesday "","" the Four Nations TV Committee said dates had been set for a competition involving Scotland "","" Wales "","" Ireland and France next year .",set for a competition involving is not a named entity .
"In a statement on Wednesday "","" the Four Nations TV Committee said dates had been set for a competition involving Scotland "","" Wales "","" Ireland and France next year .",France next is not a named entity .
"In a statement on Wednesday "","" the Four Nations TV Committee said dates had been set for a competition involving Scotland "","" Wales "","" Ireland and France next year .",said dates had been set for a is not a named entity .
"In a statement on Wednesday "","" the Four Nations TV Committee said dates had been set for a competition involving Scotland "","" Wales "","" Ireland and France next year .",a competition is not a named entity .
"In a statement on Wednesday "","" the Four Nations TV Committee said dates had been set for a competition involving Scotland "","" Wales "","" Ireland and France next year .",said dates is not a named entity .
"In a statement on Wednesday "","" the Four Nations TV Committee said dates had been set for a competition involving Scotland "","" Wales "","" Ireland and France next year .",said dates had been set is not a named entity .
"In a statement on Wednesday "","" the Four Nations TV Committee said dates had been set for a competition involving Scotland "","" Wales "","" Ireland and France next year .",""","" Wales "","" Ireland and France next is not a named entity ."
"In a statement on Wednesday "","" the Four Nations TV Committee said dates had been set for a competition involving Scotland "","" Wales "","" Ireland and France next year .",TV Committee said is not a named entity .
"( Haessler 33rd "","" Dundee 45th "","" Keller 90th ) .",Haessler is a person entity .
"( Haessler 33rd "","" Dundee 45th "","" Keller 90th ) .",Dundee is a person entity .
"( Haessler 33rd "","" Dundee 45th "","" Keller 90th ) .",Keller is a person entity .
"( Haessler 33rd "","" Dundee 45th "","" Keller 90th ) .","( Haessler 33rd "","" Dundee 45th is not a named entity ."
"( Haessler 33rd "","" Dundee 45th "","" Keller 90th ) .",( is not a named entity .
"( Haessler 33rd "","" Dundee 45th "","" Keller 90th ) .",Haessler 33rd is not a named entity .
"( Haessler 33rd "","" Dundee 45th "","" Keller 90th ) .","33rd "","" Dundee 45th is not a named entity ."
"( Haessler 33rd "","" Dundee 45th "","" Keller 90th ) .","( Haessler 33rd "","" Dundee is not a named entity ."
"( Haessler 33rd "","" Dundee 45th "","" Keller 90th ) .","Haessler 33rd "","" is not a named entity ."
Although Danny Rose 's 50th-minute equaliser gave the Seychellois renewed hope they could not find the net again and were eliminated .,Danny Rose is a person entity .
Although Danny Rose 's 50th-minute equaliser gave the Seychellois renewed hope they could not find the net again and were eliminated .,Seychellois is an other entity .
Although Danny Rose 's 50th-minute equaliser gave the Seychellois renewed hope they could not find the net again and were eliminated .,the net again and were eliminated is not a named entity .
