sentence,prompt
Mariaan de Swardt ( South Africa ) beat Dominique Van Roost ( Belgium ) 1-6 6-2 7-6 ( 7-4 ),Mariaan de Swardt is a/an person entity .
Mariaan de Swardt ( South Africa ) beat Dominique Van Roost ( Belgium ) 1-6 6-2 7-6 ( 7-4 ),South Africa is a/an location entity .
Mariaan de Swardt ( South Africa ) beat Dominique Van Roost ( Belgium ) 1-6 6-2 7-6 ( 7-4 ),Dominique Van Roost is a/an person entity .
Mariaan de Swardt ( South Africa ) beat Dominique Van Roost ( Belgium ) 1-6 6-2 7-6 ( 7-4 ),Belgium is a/an location entity .
Mariaan de Swardt ( South Africa ) beat Dominique Van Roost ( Belgium ) 1-6 6-2 7-6 ( 7-4 ),( South Africa is not a named entity .
Mariaan de Swardt ( South Africa ) beat Dominique Van Roost ( Belgium ) 1-6 6-2 7-6 ( 7-4 ),( Belgium ) 1-6 is not a named entity .
Mariaan de Swardt ( South Africa ) beat Dominique Van Roost ( Belgium ) 1-6 6-2 7-6 ( 7-4 ),Roost ( Belgium ) 1-6 is not a named entity .
Mariaan de Swardt ( South Africa ) beat Dominique Van Roost ( Belgium ) 1-6 6-2 7-6 ( 7-4 ),Van Roost ( is not a named entity .
Mariaan de Swardt ( South Africa ) beat Dominique Van Roost ( Belgium ) 1-6 6-2 7-6 ( 7-4 ),Swardt ( is not a named entity .
Mariaan de Swardt ( South Africa ) beat Dominique Van Roost ( Belgium ) 1-6 6-2 7-6 ( 7-4 ),Belgium ) 1-6 6-2 is not a named entity .
Mariaan de Swardt ( South Africa ) beat Dominique Van Roost ( Belgium ) 1-6 6-2 7-6 ( 7-4 ),Dominique Van Roost ( Belgium is not a named entity .
Mariaan de Swardt ( South Africa ) beat Dominique Van Roost ( Belgium ) 1-6 6-2 7-6 ( 7-4 ),Belgium ) 1-6 6-2 7-6 ( is not a named entity .
LOS ANGELES 7 New York 5,LOS ANGELES is a/an organization entity .
LOS ANGELES 7 New York 5,New York is a/an organization entity .
LOS ANGELES 7 New York 5,New York 5 is not a named entity .
LOS ANGELES 7 New York 5,ANGELES 7 New York is not a named entity .
LOS ANGELES 7 New York 5,LOS is not a named entity .
LOS ANGELES 7 New York 5,York is not a named entity .
Danish analysts recently estimated ISS Inc 's sale value at up to $ 118 million .,Danish is a/an other entity .
Danish analysts recently estimated ISS Inc 's sale value at up to $ 118 million .,ISS Inc is a/an organization entity .
Danish analysts recently estimated ISS Inc 's sale value at up to $ 118 million .,'s sale value at up to is not a named entity .
Danish analysts recently estimated ISS Inc 's sale value at up to $ 118 million .,at up is not a named entity .
Danish analysts recently estimated ISS Inc 's sale value at up to $ 118 million .,recently estimated is not a named entity .
Danish analysts recently estimated ISS Inc 's sale value at up to $ 118 million .,value at up to $ 118 million . is not a named entity .
Dutch government wo n't pay ransom for kidnap victims .,Dutch is a/an other entity .
Dutch government wo n't pay ransom for kidnap victims .,victims . is not a named entity .
Dutch government wo n't pay ransom for kidnap victims .,for kidnap victims . is not a named entity .
"Nigeria would not object to a visit by Commonwealth officials but insists its suspension from the organisation be resolved before any other questions are addressed "","" Foreign Minister Tom Ikimi said on Thursday .",Nigeria is a/an location entity .
"Nigeria would not object to a visit by Commonwealth officials but insists its suspension from the organisation be resolved before any other questions are addressed "","" Foreign Minister Tom Ikimi said on Thursday .",Commonwealth is a/an organization entity .
"Nigeria would not object to a visit by Commonwealth officials but insists its suspension from the organisation be resolved before any other questions are addressed "","" Foreign Minister Tom Ikimi said on Thursday .",Tom Ikimi is a/an person entity .
"Nigeria would not object to a visit by Commonwealth officials but insists its suspension from the organisation be resolved before any other questions are addressed "","" Foreign Minister Tom Ikimi said on Thursday .",to a visit by Commonwealth is not a named entity .
